Academic Year	Aggregate Level	County Code	District Code	School Code	County Name	District Name	School Name	Charter School	DASS	Reporting Category	Cumulative Enrollment	Homeless Student Enrollment	Temporarily Doubled Up	Temporary Shelters	Hotels/Motels	Temporarily Unsheltered	Missing/Unknown	Temporarily Doubled Up (percent)	Temporary Shelters (percent)	Hotels/Motels (percent)	Temporarily Unsheltered (percent)	Missing/Unknown (percent)
2024-25	C	01			Alameda			Yes	No 	GR04	1310	39	31	4	2	2	0	79.5	10.3	5.1	5.1	0.0
2024-25	C	01			Alameda			All	All	GR05	16304	384	270	57	32	25	0	70.3	14.8	8.3	6.5	0.0
2024-25	C	01			Alameda			All	No 	GR05	16278	381	269	56	31	25	0	70.6	14.7	8.1	6.6	0.0
2024-25	C	01			Alameda			All	Yes	GR05	38	5	*	*	*	*	*	*	*	*	*	*
2024-25	C	01			Alameda			No 	All	GR05	14908	354	245	56	29	24	0	69.2	15.8	8.2	6.8	0.0
2024-25	C	01			Alameda			No 	No 	GR05	14880	351	244	55	28	24	0	69.5	15.7	8.0	6.8	0.0
2024-25	C	01			Alameda			No 	Yes	GR05	38	5	*	*	*	*	*	*	*	*	*	*
2024-25	C	01			Alameda			Yes	All	GR05	1454	31	26	1	3	1	0	83.9	3.2	9.7	3.2	0.0
2024-25	C	01			Alameda			Yes	No 	GR05	1454	31	26	1	3	1	0	83.9	3.2	9.7	3.2	0.0
2024-25	C	01			Alameda			All	All	GR06	16253	367	270	46	30	21	0	73.6	12.5	8.2	5.7	0.0
2024-25	C	01			Alameda			All	No 	GR06	16222	364	268	45	30	21	0	73.6	12.4	8.2	5.8	0.0
2024-25	C	01			Alameda			All	Yes	GR06	39	3	*	*	*	*	*	*	*	*	*	*
2024-25	C	01			Alameda			No 	All	GR06	14423	355	261	44	29	21	0	73.5	12.4	8.2	5.9	0.0
2024-25	C	01			Alameda			No 	No 	GR06	14391	352	259	43	29	21	0	73.6	12.2	8.2	6.0	0.0
2024-25	C	01			Alameda			No 	Yes	GR06	39	3	*	*	*	*	*	*	*	*	*	*
2024-25	C	01			Alameda			Yes	All	GR06	1935	16	13	2	1	0	0	81.3	12.5	6.3	0.0	0.0
2024-25	C	01			Alameda			Yes	No 	GR06	1935	16	13	2	1	0	0	81.3	12.5	6.3	0.0	0.0
2024-25	C	01			Alameda			All	All	GR07	16193	340	266	32	25	17	0	78.2	9.4	7.4	5.0	0.0
2024-25	C	01			Alameda			All	No 	GR07	16160	339	266	31	25	17	0	78.5	9.1	7.4	5.0	0.0
2024-25	C	01			Alameda			All	Yes	GR07	59	1	*	*	*	*	*	*	*	*	*	*
2024-25	C	01			Alameda			No 	All	GR07	14276	327	259	27	24	17	0	79.2	8.3	7.3	5.2	0.0
